Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000010 
max_cycles : 90000000.000000 
sample_frequency : 100000.000000 
Run Time : 4560.008368 

DATA START
t                       |A                       |B                       |P                       |Q                       |X                       |Y                       |Z                       |
6.7999999999999998e+00  |5.9793403993908339e-02  |5.9073417798152179e-02  |6.0839297310645926e-04  |3.6569067474372791e-04  |5.0123659839397634e-11  |3.1712716095693745e-04  |1.4119260625040643e-06  |
6.8999999999999995e+00  |5.9790882838698614e-02  |5.9073415429213801e-02  |6.1343765225387156e-04  |3.6569067475456993e-04  |5.0122281259001975e-11  |3.1221695898871681e-04  |1.2798176312066903e-06  |
7.0000000000000000e+00  |5.9788400865160247e-02  |5.9073413060275422e-02  |6.1840396799562182e-04  |3.6569067476541195e-04  |5.0120948646595344e-11  |3.0737254863765780e-04  |1.1602809242709228e-06  |
7.0999999999999996e+00  |5.9785957540737900e-02  |5.9073410691337043e-02  |6.2329298544384622e-04  |3.6569067477625397e-04  |5.0119661679743296e-11  |3.0259406115002070e-04  |1.0521195854378924e-06  |
7.1999999999999993e+00  |5.9783552332454901e-02  |5.9073408323091943e-02  |6.2810577055329110e-04  |3.6569067478709600e-04  |5.0118420043828730e-11  |2.9788151308107053e-04  |9.5425110683908418e-07  |
7.2999999999999998e+00  |5.9781184707777657e-02  |5.9073405954847454e-02  |6.3284338839274723e-04  |3.6569067479793802e-04  |5.0117223432458913e-11  |2.9323481885779881e-04  |8.6569599488483084e-07  |
7.3999999999999995e+00  |5.9778854135384682e-02  |5.9073403586602964e-02  |6.3750690160797527e-04  |3.6569067480878004e-04  |5.0116071547826641e-11  |2.8865380211891192e-04  |7.8556796715510878e-07  |
7.5000000000000000e+00  |5.9776560085847807e-02  |5.9073401218358475e-02  |6.4209736905783735e-04  |3.6569067481962206e-04  |5.0114964101023411e-11  |2.8413820594916806e-04  |7.1306508218028881e-07  |
7.5999999999999996e+00  |5.9774302032236132e-02  |5.9073398850113985e-02  |6.4661584460612019e-04  |3.6569067483046408e-04  |5.0113900812313848e-11  |2.7968770211346202e-04  |6.4746171333502490e-07  |
7.6999999999999993e+00  |5.9772079450649600e-02  |5.9073396481869496e-02  |6.5106337605432560e-04  |3.6569067484130610e-04  |5.0112881411374378e-11  |2.7530189938651441e-04  |5.8810128651769758e-07  |
7.7999999999999998e+00  |5.9769891820691944e-02  |5.9073394113625007e-02  |6.5544100420111948e-04  |3.6569067485214813e-04  |5.0111905637502356e-11  |2.7098035106453100e-04  |5.3438970893116498e-07  |
7.8999999999999995e+00  |5.9767738625875949e-02  |5.9073391745380517e-02  |6.5974976201619380e-04  |3.6569067486299015e-04  |5.0110973239788080e-11  |2.6672256173720845e-04  |4.8578942319820966e-07  |
8.0000000000000000e+00  |5.9765619353995283e-02  |5.9073389377136028e-02  |6.6399067391731815e-04  |3.6569067487383217e-04  |5.0110083977276585e-11  |2.6252799339085929e-04  |4.4181402730284044e-07  |
8.0999999999999996e+00  |5.9763533497433102e-02  |5.9073387008891538e-02  |6.6816475514002306e-04  |3.6569067488467419e-04  |5.0109237619093062e-11  |2.5839607090672248e-04  |4.0202340651214213e-07  |
8.1999999999999993e+00  |5.9761480553437288e-02  |5.9073384640647049e-02  |6.7227301119099022e-04  |3.6569067489551621e-04  |5.0108433944555618e-11  |2.5432618701241725e-04  |3.6601932855733719e-07  |
8.2999999999999989e+00  |5.9759460024355414e-02  |5.9073382272402560e-02  |6.7631643737656524e-04  |3.6569067490635823e-04  |5.0107672743268253e-11  |2.5031770673904008e-04  |3.3344145798886977e-07  |
8.4000000000000004e+00  |5.9757471417837806e-02  |5.9073379904158070e-02  |6.8029601839910152e-04  |3.6569067491720026e-04  |5.0106953815200253e-11  |2.4636997143125209e-04  |3.0396374981605121e-07  |
8.5000000000000000e+00  |5.9755514247007618e-02  |5.9073377535913581e-02  |6.8421272801394884e-04  |3.6569067492804228e-04  |5.0106276970750052e-11  |2.4248230235337663e-04  |2.7729118633730591e-07  |
8.5999999999999996e+00  |5.9753588030605320e-02  |5.9073375167669091e-02  |6.8806752874132611e-04  |3.6569067493888430e-04  |5.0105642030798862e-11  |2.3865400393022432e-04  |2.5315682450231774e-07  |
8.6999999999999993e+00  |5.9751692293109337e-02  |5.9073372799424602e-02  |6.9186137162716122e-04  |3.6569067494972632e-04  |5.0105048826754834e-11  |2.3488436665791907e-04  |2.3131912425497275e-07  |
8.7999999999999989e+00  |5.9749826564831562e-02  |5.9073370431826901e-02  |6.9559519604801639e-04  |3.6569067496056834e-04  |5.0104497200586676e-11  |2.3117266971633271e-04  |2.1155953111810174e-07  |
8.9000000000000004e+00  |5.9747990381998371e-02  |5.9073368064276301e-02  |6.9926992955556650e-04  |3.6569067497141036e-04  |5.0103987004851428e-11  |2.2751818331201993e-04  |1.9368028882594898e-07  |
9.0000000000000000e+00  |5.9746183286807086e-02  |5.9073365696725701e-02  |7.0288648775648234e-04  |3.6569067498225239e-04  |5.0103518102714282e-11  |2.2392017077755395e-04  |1.7750246011211701e-07  |
9.0999999999999996e+00  |5.9744404827471641e-02  |5.9073363329175101e-02  |7.0644577422390590e-04  |3.6569067499309441e-04  |5.0103090367964775e-11  |2.2037789045085935e-04  |1.6286413584469514e-07  |
9.1999999999999993e+00  |5.9742654558253096e-02  |5.9073360961624501e-02  |7.0994868043737361e-04  |3.6569067500393643e-04  |5.0102703685028445e-11  |2.1689059735577438e-04  |1.4961881458468305e-07  |
9.2999999999999989e+00  |5.9740932039477793e-02  |5.9073358594073901e-02  |7.1339608574799793e-04  |3.6569067501477845e-04  |5.0102357948975174e-11  |2.1345754470309249e-04  |1.3763393634996721e-07  |
9.4000000000000004e+00  |5.9739236837541065e-02  |5.9073356226523301e-02  |7.1678885736622575e-04  |3.6569067502562047e-04  |5.0102053065522149e-11  |2.1007798522953180e-04  |1.2678955591010666e-07  |
9.5000000000000000e+00  |5.9737568524904472e-02  |5.9073353858972701e-02  |7.2012785036971517e-04  |3.6569067503646250e-04  |5.0101788951037563e-11  |2.0675117239031852e-04  |1.1697714233391482e-07  |
9.5999999999999996e+00  |5.9735926680084643e-02  |5.9073351491422101e-02  |7.2341390772899517e-04  |3.6569067504730452e-04  |5.0101565532543466e-11  |2.0347636141968497e-04  |1.0809849277524345e-07  |
9.6999999999999993e+00  |5.9734310887629510e-02  |5.9073349123871501e-02  |7.2664786034908621e-04  |3.6569067505814654e-04  |5.0101382747713491e-11  |2.0025281027213440e-04  |1.0006474962573323e-07  |
9.7999999999999989e+00  |5.9732720738092243e-02  |5.9073346756320901e-02  |7.2983052712516968e-04  |3.6569067506898856e-04  |5.0101240544874124e-11  |1.9707978045610644e-04  |9.2795511197926949e-08  |
9.9000000000000004e+00  |5.9731155827997165e-02  |5.9073344388770301e-02  |7.3296271501056289e-04  |3.6569067507983058e-04  |5.0101138883004290e-11  |1.9395653777063381e-04  |8.6218027038093868e-08  |
1.0000000000000000e+01  |5.9729615759800556e-02  |5.9073342021219701e-02  |7.3604521909577164e-04  |3.6569067509067260e-04  |5.0101077731735545e-11  |1.9088235295445794e-04  |8.0266469815211884e-08  |
1.0100000000000000e+01  |5.9728100141844806e-02  |5.9073339653669101e-02  |7.3907882269708689e-04  |3.6569067510151463e-04  |5.0101057071351271e-11  |1.8785650225625967e-04  |7.4881276498897565e-08  |
1.0199999999999999e+01  |5.9726608588311574e-02  |5.9073337286118500e-02  |7.4206429745350330e-04  |3.6569067511235665e-04  |5.0101076892789562e-11  |1.8487826793377161e-04  |7.0008552232581408e-08  |
1.0299999999999999e+01  |5.9725140719168283e-02  |5.9073334918567900e-02  |7.4500240343115538e-04  |3.6569067512319867e-04  |5.0101137197644678e-11  |1.8194693868886616e-04  |6.5599530935675601e-08  |
1.0400000000000000e+01  |5.9723696160114983e-02  |5.9073332551017300e-02  |7.4789388923399657e-04  |3.6569067513404069e-04  |5.0101237998172872e-11  |1.7906181004490184e-04  |6.1610087236246653e-08  |
1.0500000000000000e+01  |5.9722274542522401e-02  |5.9073330183466700e-02  |7.5073949211992028e-04  |3.6569067514488271e-04  |5.0101379317294871e-11  |1.7622218467216154e-04  |5.8000294849484913e-08  |
1.0600000000000000e+01  |5.9720875503375716e-02  |5.9073327815916100e-02  |7.5353993812171107e-04  |3.6569067515572473e-04  |5.0101561188606799e-11  |1.7342737266658149e-04  |5.4734026982005570e-08  |
1.0699999999999999e+01  |5.9719498685209059e-02  |5.9073325448365500e-02  |7.5629594217188558e-04  |3.6569067516656676e-04  |5.0101783656387037e-11  |1.7067669178642998e-04  |5.1778594762753433e-08  |
1.0799999999999999e+01  |5.9718143736043998e-02  |5.9073323080814900e-02  |7.5900820823094142e-04  |3.6569067517740878e-04  |5.0102046775609952e-11  |1.6796946765123956e-04  |4.9104420081758839e-08  |
1.0900000000000000e+01  |5.9716810309321584e-02  |5.9073320713264300e-02  |7.6167742941836750e-04  |3.6569067518825080e-04  |5.0102350611957600e-11  |1.6530503390681830e-04  |4.6684739562419074e-08  |
