Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000100 
max_cycles : 1000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 200.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
1.4070351758793971e+00  |1.5362583921827873e-04  |1.6030484663046991e+00  |9.9839679790784078e+02  |
1.4472361809045227e+00  |1.8332033780530665e-04  |1.7211364114303127e+00  |9.9827868026822614e+02  |
1.4874371859296482e+00  |2.1877268419467585e-04  |1.8480804274260596e+00  |9.9815170079989184e+02  |
1.5276381909547738e+00  |2.6110668128983454e-04  |1.9845853688736572e+00  |9.9801515352445972e+02  |
1.5678391959798996e+00  |3.1165148278988845e-04  |2.1313068627357277e+00  |9.9786838148576442e+02  |
1.6080402010050252e+00  |3.7202607198484546e-04  |2.2891598105125550e+00  |9.9771046816340163e+02  |
1.6482412060301508e+00  |4.4413603178924211e-04  |2.4589274600986268e+00  |9.9754062840388406e+02  |
1.6884422110552764e+00  |5.3029922740495243e-04  |2.6416708787127750e+00  |9.9735779882206793e+02  |
1.7286432160804019e+00  |6.3323097756837372e-04  |2.8382391243652498e+00  |9.9716112764467334e+02  |
1.7688442211055277e+00  |7.5625047141795955e-04  |3.0498797799544937e+00  |9.9694936396956871e+02  |
1.8090452261306533e+00  |9.0326283441258324e-04  |3.2776503510402031e+00  |9.9672144638613213e+02  |
1.8492462311557789e+00  |1.0790036469021963e-03  |3.5229300639105969e+00  |9.9647599093243196e+02  |
1.8894472361809045e+00  |1.2891264515026007e-03  |3.7871325423942190e+00  |9.9621157833115603e+02  |
1.9296482412060301e+00  |1.5403792230714441e-03  |4.0717191566387827e+00  |9.9592674046412446e+02  |
1.9698492462311559e+00  |1.8408152000684980e-03  |4.3782131497621606e+00  |9.9561994603508174e+02  |
2.0100502512562812e+00  |2.2002321312272863e-03  |4.7086144124355922e+00  |9.9528918535540333e+02  |
2.0502512562814070e+00  |2.6302139712481450e-03  |5.0647155799002288e+00  |9.9493265420611681e+02  |
2.0904522613065328e+00  |3.1447749325761612e-03  |5.4487185228197532e+00  |9.9454813670222484e+02  |
2.1306532663316582e+00  |3.7606403671809493e-03  |5.8628522683577851e+00  |9.9413338709127481e+02  |
2.1708542713567840e+00  |4.4979041727135540e-03  |6.3095916794576192e+00  |9.9368591041637990e+02  |
2.2110552763819098e+00  |5.3806416701787513e-03  |6.7915773997366911e+00  |9.9320304195856397e+02  |
2.2512562814070352e+00  |6.4378778007798754e-03  |7.3118367483804967e+00  |9.9268172537381201e+02  |
