Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000010 
max_cycles : 1000000.000000 
log_frequency : 100000.000000 
sample_frequency : 10.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 4.000000 
Run Time : 4.391279 

DATA START
t                       |D                       |I                       |N                       |
5.8989999999999997e-03  |3.2937360389413543e-05  |1.3872147669868852e+01  |9.8612781939276579e+02  |
5.8999999999999999e-03  |3.2913325775897525e-05  |1.3862025091415811e+01  |9.8613794199525341e+02  |
5.9010000000000000e-03  |3.2889308701863269e-05  |1.3851909900008121e+01  |9.8614805721067830e+02  |
5.9020000000000001e-03  |3.2865309154511152e-05  |1.3841802090255019e+01  |9.8615816504443080e+02  |
5.9029999999999994e-03  |3.2841327121050943e-05  |1.3831701656769672e+01  |9.8616826550189830e+02  |
5.9039999999999995e-03  |3.2817362588701686e-05  |1.3821608594169184e+01  |9.8617835858846331e+02  |
5.9049999999999997e-03  |3.2793415544691805e-05  |1.3811522897074584e+01  |9.8618844430950503e+02  |
5.9059999999999998e-03  |3.2769485976259002e-05  |1.3801444560110816e+01  |9.8619852267039846e+02  |
5.9069999999999999e-03  |3.2745573870650333e-05  |1.3791373577906764e+01  |9.8620859367651462e+02  |
5.9080000000000001e-03  |3.2721679215122155e-05  |1.3781309945095224e+01  |9.8621865733322079e+02  |
5.9089999999999993e-03  |3.2697801996940079e-05  |1.3771253656312908e+01  |9.8622871364588048e+02  |
5.9099999999999995e-03  |3.2673942203379049e-05  |1.3761204706200443e+01  |9.8623876261985265e+02  |
5.9109999999999996e-03  |3.2650099821723296e-05  |1.3751163089402366e+01  |9.8624880426049322e+02  |
5.9119999999999997e-03  |3.2626274839266304e-05  |1.3741128800567123e+01  |9.8625883857315353e+02  |
5.9129999999999999e-03  |3.2602467243310859e-05  |1.3731101834347065e+01  |9.8626886556318107e+02  |
5.9140000000000000e-03  |3.2578677021169004e-05  |1.3721082185398448e+01  |9.8627888523591980e+02  |
5.9150000000000001e-03  |3.2554904160162024e-05  |1.3711069848381422e+01  |9.8628889759670994e+02  |
5.9159999999999994e-03  |3.2531148647620482e-05  |1.3701064817960040e+01  |9.8629890265088693e+02  |
5.9169999999999995e-03  |3.2507410470884176e-05  |1.3691067088802244e+01  |9.8630890040378301e+02  |
5.9179999999999996e-03  |3.2483689617302127e-05  |1.3681076655579869e+01  |9.8631889086072601e+02  |
5.9189999999999998e-03  |3.2459986074232612e-05  |1.3671093512968641e+01  |9.8632887402704068e+02  |
5.9199999999999999e-03  |3.2436299829043123e-05  |1.3661117655648169e+01  |9.8633884990804745e+02  |
5.9210000000000000e-03  |3.2412630869110384e-05  |1.3651149078301945e+01  |9.8634881850906265e+02  |
5.9219999999999993e-03  |3.2388979181820298e-05  |1.3641187775617336e+01  |9.8635877983539888e+02  |
5.9229999999999994e-03  |3.2365344754567999e-05  |1.3631233742285595e+01  |9.8636873389236519e+02  |
5.9239999999999996e-03  |3.2341727574757828e-05  |1.3621286973001839e+01  |9.8637868068526609e+02  |
5.9249999999999997e-03  |3.2318127629803303e-05  |1.3611347462465066e+01  |9.8638862021940281e+02  |
5.9259999999999998e-03  |3.2294544907127124e-05  |1.3601415205378139e+01  |9.8639855250007236e+02  |
5.9270000000000000e-03  |3.2270979394161170e-05  |1.3591490196447783e+01  |9.8640847753256821e+02  |
5.9280000000000001e-03  |3.2247431078346479e-05  |1.3581572430384591e+01  |9.8641839532217978e+02  |
5.9289999999999994e-03  |3.2223899947133294e-05  |1.3571661901903012e+01  |9.8642830587419235e+02  |
5.9299999999999995e-03  |3.2200385987980995e-05  |1.3561758605721357e+01  |9.8643820919388804e+02  |
5.9309999999999996e-03  |3.2176889188358101e-05  |1.3551862536561783e+01  |9.8644810528654432e+02  |
5.9319999999999998e-03  |3.2153409535742296e-05  |1.3541973689150312e+01  |9.8645799415743534e+02  |
5.9329999999999999e-03  |3.2129947017620380e-05  |1.3532092058216797e+01  |9.8646787581183150e+02  |
5.9340000000000000e-03  |3.2106501621488319e-05  |1.3522217638494951e+01  |9.8647775025499891e+02  |
5.9349999999999993e-03  |3.2083073334851149e-05  |1.3512350424722326e+01  |9.8648761749219966e+02  |
5.9359999999999994e-03  |3.2059662145223070e-05  |1.3502490411640311e+01  |9.8649747752869291e+02  |
5.9369999999999996e-03  |3.2036268040127396e-05  |1.3492637593994139e+01  |9.8650733036973315e+02  |
5.9379999999999997e-03  |3.2012891007096525e-05  |1.3482791966532867e+01  |9.8651717602057147e+02  |
5.9389999999999998e-03  |3.1989531033671959e-05  |1.3472953524009396e+01  |9.8652701448645473e+02  |
5.9400000000000000e-03  |3.1966188107404285e-05  |1.3463122261180452e+01  |9.8653684577262652e+02  |
5.9410000000000001e-03  |3.1942862215853192e-05  |1.3453298172806589e+01  |9.8654666988432609e+02  |
5.9419999999999994e-03  |3.1919553346587434e-05  |1.3443481253652177e+01  |9.8655648682678941e+02  |
5.9429999999999995e-03  |3.1896261487184838e-05  |1.3433671498485413e+01  |9.8656629660524800e+02  |
5.9439999999999996e-03  |3.1872986625232308e-05  |1.3423868902078311e+01  |9.8657609922492986e+02  |
5.9449999999999998e-03  |3.1849728748325776e-05  |1.3414073459206698e+01  |9.8658589469105937e+02  |
5.9459999999999999e-03  |3.1826487844070272e-05  |1.3404285164650217e+01  |9.8659568300885678e+02  |
5.9470000000000000e-03  |3.1803263900079835e-05  |1.3394504013192321e+01  |9.8660546418353874e+02  |
5.9480000000000002e-03  |3.1780056903977553e-05  |1.3384729999620262e+01  |9.8661523822031802e+02  |
5.9489999999999994e-03  |3.1756866843395565e-05  |1.3374963118725109e+01  |9.8662500512440329e+02  |
5.9499999999999996e-03  |3.1733693705974983e-05  |1.3365203365301719e+01  |9.8663476490099970e+02  |
5.9509999999999997e-03  |3.1710537479366006e-05  |1.3355450734148754e+01  |9.8664451755530888e+02  |
